User_ID,Username,Rating,Location_Type,Type,movie_theater,art_gallery,clothing_store,university,bar,shopping_mall,museum,stadium,zoo,point_of_interest,tourist_attraction,park
UID_23D20850EB665BAF57F393E40B97B561-SRC_480754948,131toniaf,4,"['point_of_interest', 'establishment']",point_of_interest,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,4,2.5,2.5
UID_563A898670CFF6B52423108080B3D0A9-SRC_480747017,cvbond,4,"['point_of_interest', 'establishment']",point_of_interest,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,4,2.5,2.5
UID_923C9E360ABEEC31AA2A49BD161B3127-SRC_480688658,KristaMariePrae,4,"['point_of_interest', 'establishment']",point_of_interest,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,4,2.5,2.5
UID_5F34B19940EDFE37AD0871CF117AC817-SRC_480458502,Kim T,4,"['point_of_interest', 'establishment']",point_of_interest,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,4,2.5,2.5
UID_62B43B43DE0F60AA8CA05FA9CD8BA2D7-SRC_480420060,Jack M,4,"['point_of_interest', 'establishment']",point_of_interest,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,4,2.5,2.5
UID_E953F7346CA8F6A8813A5DAF4B4B1EED-SRC_480379104,marybsellers,4,"['point_of_interest', 'establishment']",point_of_interest,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,4,2.5,2.5
UID_1EEBD9B43CD0BFC128D7B69376042E75-SRC_480335288,WCUcody,4,"['point_of_interest', 'establishment']",point_of_interest,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,4,2.5,2.5
UID_C837E9BC81AD3F67472E297860F8B31D-SRC_480284499,AWT416,4,"['point_of_interest', 'establishment']",point_of_interest,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,4,2.5,2.5
UID_4452FEEF242B74494FB7AEC4E1655852-SRC_480236183,Sharon W,4,"['point_of_interest', 'establishment']",point_of_interest,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,4,2.5,2.5
UID_A4CF2F40062A2F58BD87FD7909E07FEC-SRC_480177036,Sherry B,4,"['point_of_interest', 'establishment']",point_of_interest,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,4,2.5,2.5
UID_9D93F0EDA5000DEDE8B8760468812B14-SRC_484470614,Chia404,4,"['point_of_interest', 'establishment']",point_of_interest,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,4,2.5,2.5
UID_400FFF868C341BBAD795639D1B409FF8-SRC_483526943,Garry B,4,"['point_of_interest', 'establishment']",point_of_interest,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,4,2.5,2.5
UID_D978D9DD73E2EF2B832A7A1177BE860C-SRC_483268958,Joseph S,4,"['point_of_interest', 'establishment']",point_of_interest,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,4,2.5,2.5
UID_A3AA768BAF43AE6BF1658CCEC4C50E47-SRC_482508320,Joyce B,4,"['point_of_interest', 'establishment']",point_of_interest,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,4,2.5,2.5
UID_E6EB9C063A23C5154EAA34CB6DE6EAEB-SRC_481399742,countrybea50,4,"['point_of_interest', 'establishment']",point_of_interest,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,4,2.5,2.5
UID_AF446D8CD4E3FAB06381339903B255B2-SRC_481366827,RickZ255,4,"['point_of_interest', 'establishment']",point_of_interest,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,4,2.5,2.5
UID_2F3E07A0BAA94580C2BA7D076BB2CE94-SRC_481083709,Dambreaker,4,"['point_of_interest', 'establishment']",point_of_interest,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,4,2.5,2.5
UID_B27ACB14546F4327E5F792C82AC319DE-SRC_481022393,Waukazoo3,4,"['point_of_interest', 'establishment']",point_of_interest,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,4,2.5,2.5
UID_B5A70D4784D4BEC314B0DD495137EC05-SRC_480943386,James H,4,"['point_of_interest', 'establishment']",point_of_interest,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,4,2.5,2.5
UID_15AA8F40E24860FA72B93744F8524AC0-SRC_480906937,Teresa H,4,"['point_of_interest', 'establishment']",point_of_interest,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,4,2.5,2.5
UID_06BE34A3C03303BF10A98C63FA69E04B-SRC_553447065,wnyc,4,"['point_of_interest', 'establishment']",point_of_interest,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,4,2.5,2.5
UID_514CCB6F03EB6842135723E75345C89D-SRC_553433489,aliceann1,4,"['point_of_interest', 'establishment']",point_of_interest,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,4,2.5,2.5
UID_0D31C12244AAA0A286B80D1ED174A417-SRC_553053638,jon s,4,"['point_of_interest', 'establishment']",point_of_interest,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,4,2.5,2.5
UID_632A4DA4F116C7CF749A5A707F5D8D47-SRC_552097791,iSpy71322,4,"['point_of_interest', 'establishment']",point_of_interest,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,4,2.5,2.5
UID_72BA48061B2684F228B8BB58C01D2AF7-SRC_551376967,jazz562,4,"['point_of_interest', 'establishment']",point_of_interest,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,4,2.5,2.5
UID_028B07A41FCF1D143CC93FEA2B9D8AA5-SRC_551221104,Lauren B,4,"['point_of_interest', 'establishment']",point_of_interest,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,4,2.5,2.5
UID_7AF3DEA8E6049565BEB67D4BE4EBC1C8-SRC_550202431,ilGrec0,4,"['point_of_interest', 'establishment']",point_of_interest,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,4,2.5,2.5
